cliente_id,produto
1,plantadeira
1,colheitadeira
2,pulverizador
2,plantadeira
2,subsolador
2,drone
3,pulverizador
3,plantadeira
3,distribuidor_adubo
4,piloto_automatico
4,drone
5,monitoramento
6,distribuidor_adubo
6,drone
7,pulverizador
7,distribuidor_semente
8,colheitadeira
8,distribuidor_semente
8,monitoramento
9,distribuidor_semente
11,pulverizador
12,subsolador
12,piloto_automatico
13,distribuidor_semente
13,irrigacao
14,plantadeira
14,colheitadeira
15,plantadeira
15,colheitadeira
16,pulverizador
16,colheitadeira
17,pulverizador
17,distribuidor_adubo
17,monitoramento
17,irrigacao
18,colheitadeira
19,irrigacao
20,plantadeira
20,colheitadeira
20,distribuidor_adubo
21,monitoramento
22,plantadeira
23,drone
24,plantadeira
24,colheitadeira
25,plantadeira
25,distribuidor_semente
27,pulverizador
27,plantadeira
27,piloto_automatico
28,piloto_automatico
28,monitoramento
28,drone
29,distribuidor_adubo
30,pulverizador
30,colheitadeira
30,distribuidor_adubo
30,subsolador
30,piloto_automatico
31,colheitadeira
31,piloto_automatico
32,distribuidor_semente
32,monitoramento
32,drone
33,colheitadeira
34,distribuidor_semente
35,plantadeira
35,colheitadeira
36,colheitadeira
37,plantadeira
37,drone
38,colheitadeira
38,distribuidor_adubo
39,colheitadeira
39,distribuidor_semente
39,subsolador
39,piloto_automatico
39,monitoramento
40,distribuidor_adubo
40,distribuidor_semente
40,drone
41,piloto_automatico
41,monitoramento
42,colheitadeira
42,piloto_automatico
43,pulverizador
43,plantadeira
43,colheitadeira
43,piloto_automatico
43,drone
44,colheitadeira
44,piloto_automatico
44,drone
45,pulverizador
45,distribuidor_adubo
47,piloto_automatico
48,pulverizador
48,colheitadeira
48,subsolador
49,distribuidor_adubo
49,drone
50,pulverizador
50,piloto_automatico
51,colheitadeira
51,distribuidor_semente
51,monitoramento
52,piloto_automatico
52,irrigacao
52,drone
53,pulverizador
53,distribuidor_semente
53,irrigacao
54,distribuidor_semente
54,piloto_automatico
55,distribuidor_semente
55,subsolador
55,piloto_automatico
56,pulverizador
57,pulverizador
57,subsolador
58,plantadeira
59,plantadeira
59,distribuidor_adubo
59,distribuidor_semente
59,irrigacao
59,drone
60,pulverizador
60,monitoramento
61,irrigacao
62,plantadeira
62,subsolador
62,monitoramento
62,drone
63,subsolador
64,piloto_automatico
65,pulverizador
65,distribuidor_adubo
66,distribuidor_adubo
66,piloto_automatico
67,plantadeira
67,colheitadeira
67,distribuidor_semente
68,colheitadeira
68,distribuidor_adubo
68,drone
69,plantadeira
69,distribuidor_semente
69,drone
71,plantadeira
72,pulverizador
72,plantadeira
72,piloto_automatico
72,monitoramento
73,plantadeira
74,plantadeira
75,pulverizador
75,colheitadeira
76,plantadeira
77,distribuidor_adubo
77,distribuidor_semente
77,monitoramento
78,colheitadeira
78,subsolador
78,piloto_automatico
79,monitoramento
80,plantadeira
80,drone
81,irrigacao
82,pulverizador
83,plantadeira
84,distribuidor_adubo
84,irrigacao
85,distribuidor_semente
86,plantadeira
86,colheitadeira
86,piloto_automatico
87,plantadeira
87,monitoramento
88,colheitadeira
88,monitoramento
89,distribuidor_semente
90,pulverizador
90,plantadeira
90,colheitadeira
91,plantadeira
91,piloto_automatico
91,irrigacao
92,piloto_automatico
92,monitoramento
93,colheitadeira
93,distribuidor_semente
93,monitoramento
94,distribuidor_semente
94,drone
95,irrigacao
96,distribuidor_adubo
96,piloto_automatico
96,monitoramento
97,plantadeira
98,distribuidor_adubo
98,distribuidor_semente
99,piloto_automatico
99,monitoramento
99,irrigacao
101,monitoramento
101,irrigacao
102,plantadeira
102,distribuidor_semente
103,colheitadeira
103,monitoramento
104,colheitadeira
104,piloto_automatico
105,pulverizador
105,plantadeira
105,colheitadeira
106,pulverizador
106,drone
107,piloto_automatico
108,distribuidor_adubo
108,piloto_automatico
108,irrigacao
109,distribuidor_adubo
109,distribuidor_semente
110,colheitadeira
110,distribuidor_semente
111,colheitadeira
111,distribuidor_adubo
111,irrigacao
111,drone
112,pulverizador
112,distribuidor_adubo
112,drone
113,pulverizador
113,colheitadeira
114,colheitadeira
114,subsolador
116,plantadeira
116,drone
117,pulverizador
117,colheitadeira
118,subsolador
119,plantadeira
119,colheitadeira
119,distribuidor_semente
120,monitoramento
121,plantadeira
121,colheitadeira
122,plantadeira
122,monitoramento
123,irrigacao
124,piloto_automatico
125,pulverizador
125,irrigacao
126,pulverizador
126,plantadeira
126,colheitadeira
126,distribuidor_semente
126,subsolador
126,piloto_automatico
128,colheitadeira
128,distribuidor_adubo
130,plantadeira
130,distribuidor_semente
130,irrigacao
131,drone
132,colheitadeira
132,distribuidor_adubo
132,distribuidor_semente
133,plantadeira
133,distribuidor_adubo
133,piloto_automatico
135,plantadeira
135,distribuidor_semente
136,irrigacao
137,distribuidor_adubo
137,distribuidor_semente
138,pulverizador
138,distribuidor_adubo
138,distribuidor_semente
138,drone
140,pulverizador
140,piloto_automatico
140,monitoramento
140,drone
141,distribuidor_semente
141,monitoramento
142,plantadeira
142,piloto_automatico
144,subsolador
145,plantadeira
145,piloto_automatico
145,monitoramento
145,drone
146,pulverizador
146,plantadeira
146,colheitadeira
146,distribuidor_semente
146,monitoramento
147,plantadeira
148,colheitadeira
148,subsolador
148,monitoramento
149,colheitadeira
150,monitoramento
150,irrigacao
151,distribuidor_adubo
151,distribuidor_semente
153,distribuidor_adubo
153,irrigacao
154,irrigacao
155,distribuidor_adubo
156,pulverizador
156,distribuidor_semente
157,pulverizador
158,distribuidor_semente
158,irrigacao
159,pulverizador
159,colheitadeira
159,monitoramento
160,distribuidor_semente
160,subsolador
161,pulverizador
161,distribuidor_adubo
161,piloto_automatico
161,irrigacao
162,pulverizador
162,colheitadeira
162,irrigacao
163,irrigacao
164,pulverizador
164,plantadeira
165,plantadeira
165,piloto_automatico
166,distribuidor_adubo
166,piloto_automatico
167,plantadeira
167,colheitadeira
168,piloto_automatico
169,piloto_automatico
170,piloto_automatico
170,drone
171,plantadeira
171,subsolador
172,pulverizador
172,plantadeira
172,subsolador
172,piloto_automatico
172,monitoramento
173,distribuidor_adubo
173,subsolador
174,plantadeira
174,distribuidor_semente
175,distribuidor_adubo
175,subsolador
176,plantadeira
177,pulverizador
178,pulverizador
178,distribuidor_semente
179,plantadeira
179,colheitadeira
180,pulverizador
180,plantadeira
180,colheitadeira
180,distribuidor_adubo
182,plantadeira
182,colheitadeira
183,pulverizador
183,piloto_automatico
186,pulverizador
186,plantadeira
187,distribuidor_semente
188,plantadeira
188,distribuidor_semente
189,plantadeira
189,monitoramento
191,distribuidor_semente
191,monitoramento
192,plantadeira
192,distribuidor_adubo
193,subsolador
194,pulverizador
194,plantadeira
194,irrigacao
195,plantadeira
195,distribuidor_adubo
195,piloto_automatico
198,colheitadeira
199,distribuidor_semente
199,monitoramento
201,colheitadeira
201,distribuidor_adubo
201,distribuidor_semente
201,monitoramento
202,colheitadeira
202,irrigacao
203,plantadeira
206,plantadeira
206,colheitadeira
207,monitoramento
208,piloto_automatico
208,monitoramento
209,pulverizador
209,drone
210,pulverizador
210,plantadeira
210,colheitadeira
211,pulverizador
211,colheitadeira
211,distribuidor_semente
211,monitoramento
212,pulverizador
212,distribuidor_adubo
212,distribuidor_semente
212,drone
213,pulverizador
213,colheitadeira
213,distribuidor_adubo
213,piloto_automatico
214,distribuidor_adubo
214,subsolador
214,irrigacao
215,drone
216,colheitadeira
216,piloto_automatico
216,monitoramento
216,drone
217,pulverizador
217,plantadeira
217,colheitadeira
218,colheitadeira
219,colheitadeira
219,piloto_automatico
219,monitoramento
219,irrigacao
220,colheitadeira
221,plantadeira
222,plantadeira
223,monitoramento
223,drone
224,plantadeira
225,colheitadeira
227,plantadeira
227,subsolador
228,monitoramento
230,distribuidor_semente
230,piloto_automatico
231,plantadeira
231,colheitadeira
231,distribuidor_adubo
231,piloto_automatico
231,irrigacao
231,drone
232,colheitadeira
232,piloto_automatico
233,colheitadeira
233,distribuidor_adubo
235,plantadeira
235,colheitadeira
235,distribuidor_adubo
236,plantadeira
236,distribuidor_adubo
237,pulverizador
237,monitoramento
238,pulverizador
238,colheitadeira
239,plantadeira
239,distribuidor_adubo
239,irrigacao
240,distribuidor_semente
240,irrigacao
241,colheitadeira
242,irrigacao
243,plantadeira
243,colheitadeira
244,pulverizador
244,plantadeira
244,distribuidor_semente
244,piloto_automatico
244,drone
245,plantadeira
245,colheitadeira
245,distribuidor_semente
245,piloto_automatico
249,distribuidor_adubo
249,subsolador
249,irrigacao
250,monitoramento
251,plantadeira
251,colheitadeira
252,pulverizador
252,subsolador
253,pulverizador
253,subsolador
253,drone
254,pulverizador
254,plantadeira
256,plantadeira
256,distribuidor_adubo
256,subsolador
257,pulverizador
257,plantadeira
257,distribuidor_adubo
258,pulverizador
258,plantadeira
258,colheitadeira
258,subsolador
258,irrigacao
259,distribuidor_adubo
260,pulverizador
260,drone
261,plantadeira
261,irrigacao
261,drone
262,plantadeira
262,drone
263,monitoramento
264,distribuidor_semente
265,distribuidor_adubo
265,monitoramento
266,plantadeira
267,plantadeira
267,distribuidor_adubo
268,colheitadeira
268,irrigacao
269,colheitadeira
269,piloto_automatico
270,pulverizador
270,plantadeira
270,subsolador
271,drone
272,pulverizador
272,drone
274,distribuidor_adubo
276,colheitadeira
278,plantadeira
278,monitoramento
279,subsolador
279,monitoramento
280,distribuidor_adubo
280,subsolador
280,drone
281,pulverizador
281,plantadeira
281,distribuidor_adubo
281,monitoramento
281,irrigacao
282,colheitadeira
282,piloto_automatico
283,distribuidor_adubo
284,plantadeira
284,subsolador
284,piloto_automatico
285,subsolador
286,pulverizador
286,plantadeira
286,irrigacao
287,colheitadeira
287,distribuidor_adubo
288,colheitadeira
288,distribuidor_semente
288,drone
289,plantadeira
289,piloto_automatico
289,drone
290,plantadeira
291,plantadeira
291,drone
292,irrigacao
293,colheitadeira
293,distribuidor_adubo
294,colheitadeira
294,distribuidor_adubo
296,pulverizador
296,plantadeira
296,monitoramento
297,pulverizador
298,pulverizador
298,piloto_automatico
299,colheitadeira
299,distribuidor_semente
299,subsolador
299,monitoramento
300,plantadeira
300,piloto_automatico
301,pulverizador
301,distribuidor_adubo
302,plantadeira
302,colheitadeira
303,pulverizador
303,colheitadeira
303,distribuidor_adubo
303,irrigacao
304,distribuidor_semente
304,piloto_automatico
304,monitoramento
304,drone
305,colheitadeira
305,subsolador
305,piloto_automatico
305,irrigacao
306,pulverizador
306,colheitadeira
306,irrigacao
307,pulverizador
308,distribuidor_adubo
308,distribuidor_semente
309,plantadeira
309,colheitadeira
309,subsolador
310,pulverizador
310,monitoramento
310,drone
311,colheitadeira
311,subsolador
311,piloto_automatico
311,irrigacao
312,colheitadeira
313,plantadeira
313,colheitadeira
313,irrigacao
314,plantadeira
314,irrigacao
314,drone
315,colheitadeira
315,distribuidor_adubo
315,piloto_automatico
316,colheitadeira
317,pulverizador
317,plantadeira
317,colheitadeira
317,subsolador
317,monitoramento
318,pulverizador
319,plantadeira
319,colheitadeira
319,distribuidor_semente
320,colheitadeira
320,distribuidor_semente
321,pulverizador
321,plantadeira
321,monitoramento
321,irrigacao
322,pulverizador
322,distribuidor_semente
323,plantadeira
324,distribuidor_semente
324,piloto_automatico
324,irrigacao
325,pulverizador
325,distribuidor_semente
325,piloto_automatico
325,irrigacao
326,piloto_automatico
326,drone
327,subsolador
327,irrigacao
328,distribuidor_semente
328,piloto_automatico
332,colheitadeira
332,distribuidor_semente
333,plantadeira
333,piloto_automatico
334,pulverizador
334,distribuidor_semente
335,colheitadeira
335,piloto_automatico
335,monitoramento
336,distribuidor_semente
336,drone
337,pulverizador
337,colheitadeira
337,distribuidor_adubo
337,monitoramento
338,pulverizador
339,distribuidor_semente
339,monitoramento
340,pulverizador
340,plantadeira
340,monitoramento
341,pulverizador
341,drone
342,pulverizador
342,plantadeira
343,plantadeira
343,irrigacao
344,plantadeira
344,distribuidor_semente
344,irrigacao
345,pulverizador
345,colheitadeira
345,distribuidor_adubo
346,distribuidor_semente
347,plantadeira
347,distribuidor_adubo
347,monitoramento
348,piloto_automatico
349,plantadeira
349,piloto_automatico
350,subsolador
350,drone
351,plantadeira
351,colheitadeira
351,piloto_automatico
352,distribuidor_adubo
353,plantadeira
353,colheitadeira
353,drone
354,pulverizador
354,drone
355,plantadeira
355,distribuidor_adubo
355,monitoramento
356,piloto_automatico
357,colheitadeira
358,pulverizador
359,monitoramento
360,plantadeira
360,colheitadeira
360,distribuidor_adubo
362,monitoramento
362,irrigacao
363,plantadeira
363,distribuidor_semente
365,piloto_automatico
366,subsolador
366,piloto_automatico
367,colheitadeira
369,pulverizador
370,distribuidor_adubo
371,distribuidor_semente
372,plantadeira
372,colheitadeira
372,distribuidor_adubo
372,monitoramento
373,pulverizador
374,pulverizador
374,colheitadeira
375,pulverizador
375,irrigacao
376,pulverizador
376,colheitadeira
377,pulverizador
377,plantadeira
377,distribuidor_semente
377,subsolador
378,plantadeira
378,monitoramento
379,plantadeira
379,distribuidor_adubo
380,pulverizador
380,subsolador
380,piloto_automatico
380,monitoramento
380,irrigacao
381,distribuidor_semente
382,colheitadeira
382,distribuidor_semente
382,subsolador
382,piloto_automatico
383,plantadeira
383,colheitadeira
383,distribuidor_adubo
383,piloto_automatico
383,monitoramento
383,drone
384,pulverizador
384,subsolador
385,colheitadeira
386,subsolador
388,monitoramento
389,plantadeira
389,distribuidor_adubo
389,distribuidor_semente
390,pulverizador
390,distribuidor_adubo
390,distribuidor_semente
391,colheitadeira
391,piloto_automatico
392,drone
393,plantadeira
395,plantadeira
395,subsolador
395,piloto_automatico
396,pulverizador
396,colheitadeira
397,pulverizador
397,distribuidor_adubo
397,subsolador
397,irrigacao
399,plantadeira
399,colheitadeira
399,distribuidor_adubo
399,piloto_automatico
399,irrigacao
400,pulverizador
400,colheitadeira
401,plantadeira
401,colheitadeira
401,piloto_automatico
401,irrigacao
402,monitoramento
403,irrigacao
404,plantadeira
404,colheitadeira
404,distribuidor_adubo
404,monitoramento
405,distribuidor_semente
406,plantadeira
406,distribuidor_semente
406,drone
407,colheitadeira
407,monitoramento
407,irrigacao
408,pulverizador
409,colheitadeira
409,subsolador
409,irrigacao
410,plantadeira
410,colheitadeira
412,drone
413,plantadeira
413,monitoramento
414,pulverizador
414,monitoramento
414,irrigacao
414,drone
415,pulverizador
415,plantadeira
415,distribuidor_adubo
415,subsolador
416,distribuidor_adubo
418,pulverizador
418,colheitadeira
418,distribuidor_semente
419,distribuidor_adubo
421,distribuidor_adubo
422,colheitadeira
422,distribuidor_adubo
422,distribuidor_semente
422,subsolador
423,plantadeira
423,colheitadeira
424,pulverizador
424,distribuidor_semente
424,piloto_automatico
425,colheitadeira
426,plantadeira
426,irrigacao
430,plantadeira
430,colheitadeira
430,drone
431,monitoramento
432,colheitadeira
432,distribuidor_adubo
432,monitoramento
432,irrigacao
433,distribuidor_semente
434,irrigacao
434,drone
435,pulverizador
435,plantadeira
437,colheitadeira
437,distribuidor_semente
437,subsolador
438,plantadeira
438,subsolador
438,drone
439,plantadeira
439,piloto_automatico
440,colheitadeira
440,distribuidor_adubo
440,monitoramento
441,distribuidor_semente
441,subsolador
441,monitoramento
441,drone
442,pulverizador
442,distribuidor_adubo
443,irrigacao
444,pulverizador
444,plantadeira
444,distribuidor_adubo
444,piloto_automatico
445,plantadeira
445,distribuidor_semente
446,plantadeira
446,distribuidor_semente
446,subsolador
447,distribuidor_semente
447,monitoramento
449,drone
450,distribuidor_semente
450,monitoramento
451,pulverizador
451,distribuidor_semente
452,monitoramento
453,pulverizador
453,plantadeira
453,piloto_automatico
453,drone
455,colheitadeira
456,subsolador
457,distribuidor_adubo
457,monitoramento
457,drone
458,subsolador
459,piloto_automatico
459,drone
460,colheitadeira
460,distribuidor_adubo
460,piloto_automatico
461,distribuidor_adubo
461,distribuidor_semente
461,subsolador
461,piloto_automatico
462,pulverizador
462,plantadeira
463,pulverizador
463,distribuidor_semente
464,plantadeira
464,subsolador
464,monitoramento
465,colheitadeira
465,distribuidor_semente
465,monitoramento
466,pulverizador
466,distribuidor_adubo
466,irrigacao
467,distribuidor_adubo
467,piloto_automatico
468,plantadeira
468,distribuidor_semente
468,drone
469,plantadeira
469,colheitadeira
470,distribuidor_adubo
470,subsolador
470,irrigacao
470,drone
471,plantadeira
471,subsolador
472,pulverizador
472,distribuidor_adubo
473,distribuidor_adubo
474,pulverizador
474,colheitadeira
474,distribuidor_adubo
474,distribuidor_semente
474,piloto_automatico
475,pulverizador
476,distribuidor_semente
476,subsolador
476,irrigacao
478,plantadeira
478,colheitadeira
479,pulverizador
479,colheitadeira
480,pulverizador
480,monitoramento
481,drone
482,pulverizador
482,colheitadeira
482,distribuidor_semente
483,plantadeira
483,distribuidor_adubo
483,irrigacao
485,distribuidor_adubo
487,pulverizador
488,monitoramento
489,plantadeira
489,distribuidor_semente
489,piloto_automatico
490,colheitadeira
490,distribuidor_adubo
492,colheitadeira
492,distribuidor_adubo
492,piloto_automatico
493,pulverizador
493,plantadeira
494,pulverizador
494,plantadeira
494,piloto_automatico
496,colheitadeira
496,subsolador
496,piloto_automatico
497,subsolador
497,drone
498,distribuidor_adubo
498,distribuidor_semente
499,distribuidor_semente
500,plantadeira
500,subsolador
500,piloto_automatico
500,monitoramento
